# deadline, batch, obs, generalMean, variance, minVal, maxVal, included
200.0, 7, 12, 2.261,0.001, 2.240, 2.281, OK
70.0, 7, 12, 2.262,0.001, 2.238, 2.286, OK
175.0, 7, 12, 2.267,0.000, 2.259, 2.276, OK
15.0, 7, 12, 2.212,0.000, 2.199, 2.225, OK
75.0, 7, 12, 2.285,0.000, 2.268, 2.301, OK
125.0, 7, 12, 2.287,0.001, 2.268, 2.306, OK
80.0, 7, 12, 2.248,0.000, 2.234, 2.263, OK
55.0, 7, 12, 2.258,0.001, 2.233, 2.283, OK
95.0, 7, 12, 2.269,0.001, 2.244, 2.293, OK
33.0, 7, 12, 2.243,0.001, 2.222, 2.264, OK
100.0, 7, 12, 2.274,0.001, 2.257, 2.291, OK
40.0, 7, 12, 2.241,0.001, 2.220, 2.261, OK
60.0, 7, 12, 2.261,0.000, 2.245, 2.278, OK
85.0, 7, 12, 2.270,0.000, 2.258, 2.282, OK
45.0, 7, 12, 2.263,0.001, 2.244, 2.281, OK
65.0, 7, 12, 2.272,0.001, 2.244, 2.300, OK
90.0, 7, 12, 2.268,0.001, 2.240, 2.297, OK
25.0, 7, 12, 2.247,0.002, 2.212, 2.283, OK
150.0, 7, 12, 2.276,0.002, 2.245, 2.306, OK
50.0, 7, 12, 2.278,0.001, 2.258, 2.297, OK
20.0, 7, 12, 2.248,0.001, 2.226, 2.270, OK
